,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,6.0,6.3,7.0,5.3,6.8,6.0,2022-11-29,/nfl/stat/kickoffs-per-game
1,1,Buffalo,6.0,7.3,5.0,7.0,5.4,6.1,2022-11-29,/nfl/stat/kickoffs-per-game
2,1,Seattle,6.0,6.0,8.0,5.8,6.2,4.9,2022-11-29,/nfl/stat/kickoffs-per-game
3,4,Miami,5.6,6.7,6.0,5.5,5.8,4.6,2022-11-29,/nfl/stat/kickoffs-per-game
4,4,Cincinnati,5.6,6.7,5.0,6.3,5.3,5.7,2022-11-29,/nfl/stat/kickoffs-per-game
5,4,Baltimore,5.6,5.3,7.0,5.2,6.0,5.3,2022-11-29,/nfl/stat/kickoffs-per-game
6,7,Dallas,5.5,6.0,5.0,5.2,5.8,6.2,2022-11-29,/nfl/stat/kickoffs-per-game
7,7,Las Vegas,5.5,5.3,7.0,6.0,5.1,5.2,2022-11-29,/nfl/stat/kickoffs-per-game
8,7,Philadelphia,5.5,5.3,8.0,5.7,5.2,5.6,2022-11-29,/nfl/stat/kickoffs-per-game
9,10,San Francisco,5.3,5.7,4.0,5.6,5.0,5.1,2022-11-29,/nfl/stat/kickoffs-per-game
10,11,Cleveland,5.2,4.7,5.0,5.2,5.2,4.4,2022-11-29,/nfl/stat/kickoffs-per-game
11,11,New England,5.2,5.7,7.0,5.0,5.3,5.9,2022-11-29,/nfl/stat/kickoffs-per-game
12,13,Minnesota,5.1,5.3,7.0,5.2,5.0,5.5,2022-11-29,/nfl/stat/kickoffs-per-game
13,14,Detroit,5.0,6.0,6.0,5.7,4.2,4.5,2022-11-29,/nfl/stat/kickoffs-per-game
14,14,LA Chargers,5.0,5.0,5.0,4.8,5.2,5.9,2022-11-29,/nfl/stat/kickoffs-per-game
15,14,NY Giants,5.0,4.3,4.0,5.0,5.0,4.1,2022-11-29,/nfl/stat/kickoffs-per-game
16,17,Jacksonville,4.9,5.0,6.0,4.6,5.2,3.6,2022-11-29,/nfl/stat/kickoffs-per-game
17,18,Carolina,4.8,5.0,6.0,5.1,4.4,4.4,2022-11-29,/nfl/stat/kickoffs-per-game
18,19,Atlanta,4.8,4.0,4.0,5.5,4.0,4.2,2022-11-29,/nfl/stat/kickoffs-per-game
19,19,Chicago,4.8,4.7,3.0,4.6,4.9,4.2,2022-11-29,/nfl/stat/kickoffs-per-game
20,21,NY Jets,4.7,4.3,6.0,4.8,4.6,4.3,2022-11-29,/nfl/stat/kickoffs-per-game
21,22,New Orleans,4.7,3.3,1.0,5.2,4.2,4.9,2022-11-29,/nfl/stat/kickoffs-per-game
22,22,Arizona,4.7,4.7,5.0,4.8,4.5,5.6,2022-11-29,/nfl/stat/kickoffs-per-game
23,24,Tampa Bay,4.6,4.3,4.0,5.0,4.3,6.1,2022-11-29,/nfl/stat/kickoffs-per-game
24,25,Washington,4.6,5.7,5.0,4.3,4.8,4.6,2022-11-29,/nfl/stat/kickoffs-per-game
25,26,Tennessee,4.5,4.7,5.0,4.8,4.2,5.3,2022-11-29,/nfl/stat/kickoffs-per-game
26,27,Pittsburgh,4.4,5.7,6.0,4.8,4.0,5.1,2022-11-29,/nfl/stat/kickoffs-per-game
27,28,Indianapolis,4.3,4.7,4.0,5.0,3.7,5.6,2022-11-29,/nfl/stat/kickoffs-per-game
28,29,Houston,4.3,4.0,4.0,4.0,4.5,3.9,2022-11-29,/nfl/stat/kickoffs-per-game
29,30,Green Bay,4.2,5.7,7.0,4.6,3.9,5.4,2022-11-29,/nfl/stat/kickoffs-per-game
30,31,Denver,4.1,4.0,3.0,4.4,3.8,4.6,2022-11-29,/nfl/stat/kickoffs-per-game
31,31,LA Rams,4.1,4.0,3.0,4.0,4.2,6.0,2022-11-29,/nfl/stat/kickoffs-per-game
